fecha,visitantes_internacionales,turismo_al_interior,turismo_fronterizo,excursionistas _fronterizos,pasajeros_crucero
01/01/16,7808,1690,1152,4332,634
01/02/16,7666,1683,1048,4250,685
01/03/16,8625,1983,1224,4678,739
01/04/16,7717,1601,1083,4451,582
01/05/16,7665,1548,1154,4538,424
01/06/16,7781,1824,1148,4412,397
01/07/16,7991,1997,1334,4274,386
01/08/16,7387,1494,1212,4313,369
01/09/16,7017,1192,1132,4300,393
01/10/16,7848,1435,1353,4532,527
01/11/16,8012,1712,1209,4362,729
01/12/16,9336,2503,1367,4636,830
01/01/17,8271,1833,1158,4475,804
01/02/17,7790,1772,1164,4171,682
01/03/17,8903,2112,1386,4582,823
01/04/17,8184,1866,1369,4074,875
01/05/17,7844,1700,1385,4280,479
01/06/17,8360,2031,1444,4445,440
01/07/17,8708,2155,1556,4577,419
01/08/17,7722,1656,1366,4314,386
01/09/17,7472,1284,1391,4300,497
01/10/17,7988,1505,1505,4315,663
01/11/17,8496,1886,1542,4260,808
01/12/17,9613,2682,1542,4584,805
01/01/18,8363,1971,1368,4168,856
01/02/18,8027,1935,1294,4000,799
01/03/18,9307,2376,1620,4416,896
01/04/18,8318,1828,1468,4152,871
01/05/18,8214,1784,1502,4362,567
01/06/18,8233,2125,1357,4259,493
01/07/18,8244,2174,1474,4081,514
01/08/18,7809,1696,1725,3859,529
01/09/18,6472,1289,1535,3177,471
01/10/18,7714,1565,1525,3980,644
01/11/18,7592,1933,1531,3396,732
01/12/18,8204,2632,1609,3063,900
01/01/19,7924,1961,1521,3470,971
01/02/19,7663,1957,1421,3475,811
01/03/19,9041,2359,1856,3864,962
01/04/19,8074,1902,1720,3535,917
01/05/19,7767,1836,1628,3757,547
01/06/19,7790,2163,1738,3361,528
01/07/19,8233,2197,1965,3474,597
01/08/19,7894,1752,1820,3725,597
01/09/19,7009,1283,1758,3437,531
01/10/19,8117,1634,1995,3783,706
01/11/19,8577,1999,1846,3880,852
01/12/19,9317,2715,1999,3526,1077
01/01/20,8409,2043,1741,3541,1084
01/02/20,8150,2100,1659,3561,830
01/03/20,6570,1188,1569,3147,666
01/04/20,2227,85,691,1452,0
01/05/20,2385,145,746,1495,0
01/06/20,2449,308,695,1445,0
01/07/20,2853,529,859,1465,0
01/08/20,2451,533,815,1103,0
01/09/20,3432,594,1228,1610,0
01/10/20,3953,823,1214,1916,0
01/11/20,3917,985,1106,1826,0
01/12/20,4331,1482,1146,1703,0
01/01/21,3801,822,1101,1877,0
01/02/21,3400,698,889,1813,0
01/03/21,4209,1177,1107,1925,0
01/04/21,4185,1185,1141,1859,0
01/05/21,4593,1510,1149,1934,0
01/06/21,4886,1829,1292,1749,16
01/07/21,5330,2021,1364,1900,46
01/08/21,4622,1436,1337,1748,101
01/09/21,4379,1251,1205,1747,176
01/10/21,4942,1597,1190,1873,282
01/11/21,5006,1896,1001,1619,490